instelling.naam;objectnummer;object_categorie;objectnaam;titel;beschrijving;vervaardiger;vervaardiger.rol;vervaardiging.plaats;vervaardiging.datum.begin.prec;vervaardiging.datum.begin;vervaardiging.datum.eind.prec;vervaardiging.datum.eind;associatie.onderwerp;associatie.persoon;associatie.periode;inhoud.onderwerp;inhoud.persoon.naam
Het Huis van Alijn (Gent);2011-002-033;"";kookboek;Receptenboekje super Mixoup;Tweetalig receptenboekje: Frans - Nederlands.;Acec;uitgever;Charleroi;"";"";"";"";keuken$voedsel$recept (gerecht);"";jaren 1960;vrouw$mixer (kookgerei)$kookpot;""
Het Huis van Alijn (Gent);FO-90-00126;"";digitale afbeelding;Gezelschap aan het picknicken, Joegoslavië, ca. 1995;Dit reisgezelschap was op weg van België naar Turkije.;"";"";"";ca.;1995;"";"";picknick$toerisme$voedsel$Joegoslavië$vakantie;"";jaren 1990;"";""
Het Huis van Alijn (Gent);FO-60-00693;"";digitale afbeelding;Drie vrouwen in woonkamer op kerst- of oudejaarsavond, ca. 1966;"";"";"";"";ca.;1966;"";"";feest$Kerstmis$nieuwjaarsdag$interieur$huiskamer;"";jaren 1960;"";""
Het Huis van Alijn (Gent);FO-90-00127;"";digitale afbeelding;Picknick tijdens vakantie, Turkije, ca. 1998;"";"";"";"";ca.;1998;"";"";Turkije$toerisme$picknick$voedsel$vakantie;"";jaren 1990;"";""
Het Huis van Alijn (Gent);FO-60-00691;"";digitale afbeelding;Gezelschap speelt een gezelschapsspel, Gent;"";"";"";"";"";"";"";"";spel$speelgoed$interieur$Gent;"";jaren 1960;gezelschapsspel;""
Het Huis van Alijn (Gent);FO-70-00767;"";digitale afbeelding;Jonge vrouw bij Renault, 1973;De auto is een Renault R6 (1968-1980).;"";"";"";"";1973;"";"";Renault$vervoer$mode;"";jaren 1970;auto$duin;""
Het Huis van Alijn (Gent);FO-30-00249;"";digitale afbeelding;Vrouw en kind bij lama in zoo, 1936;"";"";"";"";"";1936;"";"";toerisme$dierentuin$mode$vakantie;"";jaren 1930;lama;""
Het Huis van Alijn (Gent);FO-50-01200;"";digitale afbeelding;Vrouw en drie mannen bij auto, Antwerpen, 1950;"";"";"";"";"";1950;"";"";vervoer$Antwerpen;"";jaren 1950;auto;""
Het Huis van Alijn (Gent);FO-60-00877;"";digitale afbeelding;Communicant poseert bij auto, 1962;"";"";"";"";"";1962-06-03;"";"";communie$vervoer;"";jaren 1960;auto$communicant;""
Het Huis van Alijn (Gent);FO-50-00980;"";digitale afbeelding;Vrouw bij een Austin, 1954;Het model van de auto is een Austin A50 Cambridge, gemaakt tussen 1954 en 1957.;"";"";"";"";1954;"";"";Austin$vervoer;"";jaren 1950;auto;""
Het Huis van Alijn (Gent);FO-50-00637;"";digitale afbeelding;Broer en zus bij vertrek naar school, 1957;"";"";"";"";"";1957;"";"";onderwijs$school;"";jaren 1950;schooltas;""
Het Huis van Alijn (Gent);FO-60-00671;"";digitale afbeelding;Vrouw en kind bij kerstboom, 1968;"";"";"";"";"";1968-12;"";"";Kerstmis$interieur$huiskamer;"";jaren 1960;kerstboom$televisie$behang$huiskamer;""
Het Huis van Alijn (Gent);FO-50-00406;"";digitale afbeelding;Plechtige communicant krijgt bloemen, Gent, 1957;"";"";"";"";"";1957-06-16;"";"";communie$Gent;"";jaren 1950;communicant$bloem (plant);""
Het Huis van Alijn (Gent);FO-90-00123;"";digitale afbeelding;Jarige met vrouw bij oldtimer, 1997;Deze oldtimer werd gehuurd door de kinderen ter gelegenheid van de 70e verjaardag van hun vader, de man op de foto.;"";"";"";"";1997-07-21;"";"";verjaardag$feest$vervoer;"";jaren 1990;auto;""
Het Huis van Alijn (Gent);FO-90-00131;"";digitale afbeelding;Man blaast kaarsje uit, Gent, 1992;"";"";"";"";"";1992;"";"";verjaardag$feest$voedsel$Gent;"";jaren 1990;taart$kaars;""
Het Huis van Alijn (Gent);FO-60-00695;"";digitale afbeelding;Gezin bij eerste televisietoestel, 1966;"";"";"";"";"";1966;"";"";interieur$huiskamer;"";jaren 1960;televisie$klok (uurwerk);""
Het Huis van Alijn (Gent);FO-70-00551;"";digitale afbeelding;Kindje bij Sinterklaas, ca. 1979;De Sint kwam op camping Malpertuus in Lembeke waar het gezin vaak verbleef.;"";"";"";ca.;1979;"";"";Sinterklaas;"";jaren 1970;Sinterklaas;""
Het Huis van Alijn (Gent);FO-80-00337;"";digitale afbeelding;Klasfoto jongens en meisjes;"";"";"";"";"";"";"";"";onderwijs$school;"";jaren 1980;groepsportret;""
Het Huis van Alijn (Gent);FO-20-00038;"";digitale afbeelding;Miliciens bij wastafel tijdens hun legerdienst, 1928;"";"";"";"";"";1928;"";"";leger$dienstplicht$schoonmaak;"";jaren 1920;militair$groepsportret;""
Het Huis van Alijn (Gent);FO-20-00039;"";digitale afbeelding;Miliciens tijdens hun legerdienst, 1928;Miliciens poseren samen met een hond en een kind. Ze houden een bordje vast met opschrift: Nog 100 dagen voor 1928.;"";"";"";"";1928;"";"";leger$dienstplicht;"";jaren 1920;militair$hond;""
Het Huis van Alijn (Gent);FO-70-00211;"";digitale afbeelding;Gezelschap aan tafel voor kerstfeest;"";"";"";"";"";"";"";"";Kerstmis$interieur$huiskamer;"";jaren 1970;kerstboom$spiegel$kaars$bloem (plant)$kruisbeeld;""
Het Huis van Alijn (Gent);FO-40-00251;"";digitale afbeelding;Plechtige communicant tussen meter en peter, 1942;"";"";"";"";"";1942-05-31;"";"";communie;"";jaren 1940;communicant;""
Het Huis van Alijn (Gent);FO-50-00225;"";digitale afbeelding;Kinderen bij een Opel, 1959;Het model van de auto is een Opel Olympia Rekord, gemaakt tussen 1953 en 1957.;"";"";"";"";1959;"";"";vervoer;"";jaren 1950;auto$Opel;""
Het Huis van Alijn (Gent);FO-50-00690;"";digitale afbeelding;Vijf mannen poseren op fiets, Sint-Laureins, 1951;De foto werd genomen in de Bisdomstraat in Sint-Laureins.;"";"";"";"";1951;"";"";vervoer$leger$Sint-Laureins;"";jaren 1950;fiets$militair;""
Het Huis van Alijn (Gent);2011-002-003;"";kookboek;Zuinig en toch lekker leven met Solo;Zuinig en toch lekker leven met Solo de fijne margarine en Ozo het zuivere plantenvet.;Union Margarinière Belge;uitgever;Antwerpen;"";"";"";"";keuken$voedsel$recept (gerecht);"";jaren 1950;man$vork$boter;""
Het Huis van Alijn (Gent);FO-70-00659;"";digitale afbeelding;Man poseert bij een Volga, 1971;Het model van de auto is een Volga GAZ-24, gemaakt tussen 1968 en 1985.;"";"";"";"";1971-06-02;"";"";Volga$vervoer;"";jaren 1970;auto;""
Het Huis van Alijn (Gent);2011-002-002;"";kookboek;Eet Visch;"";De Rijcke-Geerinckx, M.$Propaganda Commissie voor Zeevisch;auteur$uitgever;$;"";1935;"";"";keuken$voedsel$recept (gerecht);"";jaren 1930;boot$vis;""
Het Huis van Alijn (Gent);2011-002-001;"";kookboek;Solo: De keuken in film;"";Union Margarinière Belge;uitgever;Antwerpen;"";1936;"";"";keuken$voedsel$recept (gerecht);"";jaren 1930;vrouw$fornuis$vlees$vis$gebak$boter;""
Het Huis van Alijn (Gent);FO-70-00660;"";digitale afbeelding;Man poseert bij een Volga, 1971;Het model van de auto is een Volga GAZ-24, gemaakt tussen 1968 en 1985.;"";"";"";"";1971-06-02;"";"";Volga$vervoer;"";jaren 1970;auto;""
Het Huis van Alijn (Gent);FO-70-00661;"";digitale afbeelding;Vrouw poseert bij een Volga, 1971;Het model van de auto is een Volga GAZ-24, gemaakt tussen 1968 en 1985.;"";"";"";"";1971-06-02;"";"";Volga$vervoer;"";jaren 1970;auto;""
Het Huis van Alijn (Gent);FO-70-00681;"";digitale afbeelding;Vrouw bij haar Peugeot, Gent, ca. 1977;De auto is een Peugeot 104 (1972-1988).;"";"";"";ca.;1977;"";"";Peugeot$vervoer$Gent;"";jaren 1970;auto;""
Het Huis van Alijn (Gent);2003-067;"";kookboek;Liebig Company's Practical Cookery Book;Liebig Company's Practical Cookery Book: a collection of new and useful recipes in every branch of cookery. Kookboekje met recepten voor soepen, vleesgerechten, entrees, gevogelte, koud vlees, groenten, ontbijt, desserts,... Op de voorzijde zijn twee vrouwen afgebeeld, in lange jurk en korset, die aan een kookfornuis staan. Eén vrouw licht het deksel op van een stomende kookpot, de andere neemt een pot Liebig van een schap. Opschrift achterzijde: Liebig Company's - Extract of meat - J. Liebig - For Beef Tea and for flavour of Soups, Sauces. Strenthening and Gravies and improving the Made Dishes. Daarrond werden groenten, zeedieren, gevogelte en wild afgebeeld.;Liebig's Extract of Meat Company, Limited$Young, H.M.;uitgever$samensteller;Londen$;"";1893;"";"";voedsel$recept (gerecht)$keuken;Liebig;19de eeuw;vrouw$fornuis;""
Het Huis van Alijn (Gent);FO-30-00121;"";digitale afbeelding;Vrouw poseert bij een Imperia, Spa, ca. 1938;Deze vrouw poseert tijdens een uitstap naar Spa bij een mooie wagen die niet van haar was. Het model van de auto is een Imperia TA II, gemaakt in België tussen 1934 en 1938.;"";"";"";ca.;1938;"";"";toerisme$vakantie$vervoer$Spa;"";jaren 1930;auto$Imperia;""
Het Huis van Alijn (Gent);FO-70-00966;"";digitale afbeelding;Huilend meisje bij Sinterklaas en Zwarte Piet, 1974;Het Sinterklaasfeest werd georganiseerd door Texaco.;"";"";"";"";1974-12;"";"";Sinterklaas$speelgoed;"";jaren 1970;Sinterklaas$teddybeer;""
Het Huis van Alijn (Gent);FO-50-00996;"";digitale afbeelding;Vrouw aan een Buick, 1952;Het model van de auto is een Buick Special, gemaakt tussen 1950 en 1952.;"";"";"";"";1952;"";"";vervoer;"";jaren 1950;auto$Buick;""
Het Huis van Alijn (Gent);2002-078-215;"";affiche;Affiche voor circus Tondeurs in Menen, 1944;Tekstaffiche voor Cirkus Tondeurs. Rode en zwarte druk op wit (vergeeld) papier. Sierkader van rode lijnen, op de achtergrond een rode cirkel.;Deburchgraeve, Ars.;drukker;Ardooie;"";1944;"";"";Menen$circus;Tondeurs (circus);jaren 1940;"";""
Het Huis van Alijn (Gent);2002-078-290;"";affiche;Affiche voor circus Minnaert in Nederzwalm, 1958;Affiche voor Circus Minnaert. Tekstaffiche met twee kleine rood-witte foto's in de hoeken bovenaan: een portret van Gastonske en een portret van Titi. Blauwe en rode druk op wit papier. Blauw kader met witte sterren.;Nolf, R.;drukker;Kortrijk;"";1958;"";"";Nederzwalm$circus$clown;Minnaert (circus);jaren 1950;august;Minnaert, Gaston$Minnaert, Odilon
Het Huis van Alijn (Gent);FO-60-00902;"";digitale afbeelding;Meisje op motorkap Opel, Gent, 1963;De auto is een Opel Rekord uit 1958, in 1963 tweedehands gekocht door deze familie voor 23.200 fr.;"";"";"";"";1963;"";"";vervoer$Gent;"";jaren 1960;auto$Opel;""
Het Huis van Alijn (Gent);FO-80-00460;"";digitale afbeelding;Kind in Peugeot 305 voor woning, 1983;"";"";"";"";"";1983;"";"";vervoer;"";jaren 1980;auto$Peugeot;""
Het Huis van Alijn (Gent);FO-50-01548;"";digitale afbeelding;Meisje met familie bij verjaardagstaart;"";"";"";"";"";"";"";"";verjaardag$feest$voedsel$drank$huiskamer$interieur;"";jaren 1950;taart$kaars;""
Het Huis van Alijn (Gent);FO-50-01120;"";digitale afbeelding;Mannen poseren bij Ford Lincoln, ca. 1958;"";"";"";"";ca.;1958;"";"";vervoer;"";jaren 1950;auto$Ford;""
Het Huis van Alijn (Gent);FO-50-01122;"";digitale afbeelding;Gezelschap bij Ford Taunus 15M, Oostenrijk, 1956;"";"";"";"";"";1956;"";"";vervoer$toerisme$Oostenrijk$mode$vakantie;"";jaren 1950;auto$Ford;""
Het Huis van Alijn (Gent);FO-50-01068;"";digitale afbeelding;Gezin bij hun Opel, 1954;Het model van de auto is een Opel Olympia Rekord, gemaakt tussen 1953 en 1957.;"";"";"";"";1954;"";"";vervoer$natuur;"";jaren 1950;auto$Opel$gezin;""
Het Huis van Alijn (Gent);FO-60-01686;"";digitale afbeelding;Jongetje bij Sinterklaas, Gent, 1962;Foto werd genomen ofwel in Grand Bazar, Gent ofwel in speelgoedwinkel in Steendam, Gent.;"";"";"";"";1962-12;"";"";Sinterklaas$Gent;"";jaren 1960;Sinterklaas;""
Het Huis van Alijn (Gent);FO-50-00291;"";digitale afbeelding;Vrouw en hond in huiskamer, Gent, ca. 1959;"";"";"";"";ca.;1959;"";"";huisdier$interieur$huiskamer$Gent;"";jaren 1950;hond$lamp (verlichtingsmiddel)$behang$gordijn;""
Het Huis van Alijn (Gent);FO-60-00837;"";digitale afbeelding;Man in uniform bij Ford Taunus, 1963;"";"";"";"";"";1963;"";"";vervoer$leger;"";jaren 1960;auto$Ford$militair;""
Het Huis van Alijn (Gent);FO-70-00283;"";digitale afbeelding;Jarige blaast kaarsjes van verjaardagstaart uit, 1977;"";"";"";"";"";1977-11-04;"";"";verjaardag$feest$voedsel;"";jaren 1970;taart$kaars;""
Het Huis van Alijn (Gent);FO-40-00415;"";digitale afbeelding;Twee zussen bij een Morris, Gent, ca. 1948;"";"";"";"";ca.;1948;"";"";Morris$vervoer$Gent;"";jaren 1940;auto;""
Het Huis van Alijn (Gent);FO-60-00539;"";digitale afbeelding;Schoolportret van een meisje op kameel, Deurne, ca. 1966;De foto werd genomen in de Sint-Rumoldus school in Deurne. De kameel draagt reclame voor macaroni Soubry.;"";"";"";ca.;1966;"";"";onderwijs$reclame$Deurne$school;Soubry;jaren 1960;kameel;""
Het Huis van Alijn (Gent);FO-50-00838;"";digitale afbeelding;Vrouw bij het verlaten van een vliegtuig;"";"";"";"";"";"";"";"";toerisme$vakantie$vervoer$luchthaven;"";jaren 1950;vliegtuig;""
Het Huis van Alijn (Gent);FO-20-00040;"";digitale afbeelding;Groepsportret van miliciens tijdens hun legerdienst, 1928;"";"";"";"";"";1928;"";"";leger$dienstplicht$muziek;"";jaren 1920;militair$accordeon;""
Het Huis van Alijn (Gent);FO-70-00212;"";digitale afbeelding;Kind leest nieuwjaarsbrief voor;"";"";"";"";"";"";"";"";Kerstmis$nieuwjaarsdag;"";jaren 1970;kerstboom;""
Het Huis van Alijn (Gent);FO-30-00080;"";digitale afbeelding;Bruidspaar Suzanne en Maurice met familie, Oost-Eeklo, 1930;"";"";"";"";"";1930-02-20;"";"";huwelijk$Oosteeklo;"";jaren 1930;groepsportret$bruidspaar$bloem (plant);""
Het Huis van Alijn (Gent);FO-10-00038;"";digitale afbeelding;Klasfoto meisjes, Gemeenteschool, Oosteeklo, 1918-1919;Op de linkse lei staat geschreven: To the Americans after the struggle for [richt] at work! 4244. Tekst op de rechtse lei: To the pupils of Alton the chrildren from Oost-Eecloo.;"";"";"";"";1918;"";1919;Oosteeklo$onderwijs$school;"";jaren 1910;groepsportret$zuster$corpus (Christus);""
Het Huis van Alijn (Gent);FO-60-00849;"";digitale afbeelding;Vrouw poseert bij auto, ca. 1963;"";"";"";"";ca.;1963;"";"";vervoer;"";jaren 1960;auto;""
Het Huis van Alijn (Gent);FO-60-00850;"";digitale afbeelding;Vrouw met bloemenjurk bij VW Kever, ca. 1967;"";"";"";"";ca.;1967;"";"";vervoer$mode;"";jaren 1960;auto$Volkswagen;""
Het Huis van Alijn (Gent);FO-70-00265;"";digitale afbeelding;Meisjes op VKSJ-kamp, Lac d'Artouste, Frankrijk, 1973;"";"";"";"";"";1973-07;"";"";toerisme$jeugdbeweging$Frankrijk$vakantie$jeugd;"";jaren 1970;groepsportret$berglandschap$water;""
Het Huis van Alijn (Gent);FO-70-00280;"";digitale afbeelding;Man voor zijn Renault, ca. 1978;De auto is een Renault R5 (1972-1984).;"";"";"";ca.;1978;"";"";vervoer;"";jaren 1970;auto$Renault;""
Het Huis van Alijn (Gent);1977-058-070;"";porseleinkaart$nieuwjaarskaart;Nieuwjaarskaart Maatschappij Troef-Zeven, 1863;Nieuwjaarskaart voor het jaar 1863, gericht aan de voorzitter en de leden van de Maatschappij Troef-Zeven.;"";"";"";"";1863;"";"";vereniging$kaartspel$nieuwjaarsdag;"";19de eeuw;kroon$speelkaart;""
Het Huis van Alijn (Gent);2011-002-062;"";handleiding;Beter voedsel in minder tijd! : Miss Mary Express Pan;"";Miss Mary$Benelec;merk$uitgever;$Brussel;"";"";"";"";keuken$voedsel;"";jaren 1950;vrouw$snelkookpan;""
Het Huis van Alijn (Gent);2009-016-033;"";postkaart;Le Thermometre de l'Amour;"";"";"";"";"";1924;"";"";verloving$liefde$leger$dienstplicht$valentijnsdag;"";jaren 1920;man$vrouw$bloem (plant)$roos$viooltje$thermometer$militair;""
Het Huis van Alijn (Gent);2011-002-094;"";kookboek;Lekkernijen;"";Clément, Gaston$Nationale Commissie voor Economische Uitbreiding;auteur$uitgever;$Brussel;"";"";"";"";keuken$voedsel$recept (gerecht)$gebak;Clément, Gaston;jaren 1950;sneeuwpop$suiker;""
Het Huis van Alijn (Gent);2011-002-121;"";handleiding;Super Express Pannen Miss Mary : gebruiks- en onderhoudsvoorschriften;De handleiding kan ook geraadpleegd worden in het Frans: Casseroles à pression Miss Mary : livre de recettes et d'entretien.;Miss Mary;merk;"";"";"";"";"";keuken$voedsel$recept (gerecht);"";jaren 1960;vrouw$groente$snelkookpan;""
Het Huis van Alijn (Gent);2011-002-092;"";kookboek;Les recettes de Moulinex;"";Bernard, Françoise$Moulinex;auteur$merk;$;"";"";"";"";keuken$voedsel$recept (gerecht);Bernard, Françoise;jaren 1960;mixer (kookgerei)$groente;""
Het Huis van Alijn (Gent);2011-002-122;"";kookboek;Dit is de goede keuken... Super-Cocotte SEB de spaarkeuken;"";Seb$Bernard, Françoise$Sud-Est;merk$auteur$uitgever;$$Lyon;"";"";"";"";keuken$voedsel$recept (gerecht);"";jaren 1960;vlees$vis$schotel;""
Het Huis van Alijn (Gent);2008-302;audio-apparatuur;radio-ontvanger;Radio van het merk Grundig;Radiotoestel van het merk Grundig, type RF 451. Aan de voorkant de aanduiding van de zenders en de bedieningsknoppen.;Grundig;fabrikant;Duitsland;ca.;1974;ca.;1976;muziek;"";jaren 1970;"";""
Het Huis van Alijn (Gent);2007-117-098;schoonmaakgerei;waspoeder;Waspoeder OMO;Doos van karton met waspoeder, opschrift: OMO - Boite familiale - Familie doos - 2 voor 17,50 F.;"";"";"";"";"";"";"";huishouden$schoonmaak;"";jaren 1950;"";""
Het Huis van Alijn (Gent);2004-263-076;"";parfumfles;Eau de Cologne 4711;Klein parfumflesje Eau de Cologne. Het zeskantig, glazen flesje met bolle buik is voorzien van een goud-blauw etiket. Daarop staat het opschrift: Eau de Cologne – Kölnisch wasser – Blau Gold – Doppelt – 4711 – aus der Kölnisch Wasser Fabrik – Glockenglasse N° 4711 – Köln.;Mühlens GmbH & Co.$4711;fabrikant$merk;Keulen$Keulen;"";"";"";"";lichaamsverzorging;"";"";"";""
Het Huis van Alijn (Gent);2011-045-001;"";nieuwjaarsbrief;Nieuwjaarsbrief gericht aan ouders, Gent, 1 januari 1949;"";"";"";"";"";1948;"";1949;nieuwjaarsdag$onderwijs$Gent;"";jaren 1940;roos$vergeet-mij-nietje$bloem (plant);""
Het Huis van Alijn (Gent);2011-002-174;"";kookboek;Het kookboek van het Rijk der Vrouw deel IV : aardappelen, groenten, meelprodukten, rijst;"";Het Rijk der Vrouw;uitgever;"";"";1966;"";"";keuken$voedsel$recept (gerecht);"";jaren 1960;pasta;""
Het Huis van Alijn (Gent);2011-002-175;"";kookboek;Het kookboek van het Rijk der Vrouw deel V : nagerechten, fruit, gebak, ijs;"";Het Rijk der Vrouw;uitgever;"";"";1966;"";"";keuken$voedsel$recept (gerecht);"";jaren 1960;fruit$gebak$ijs;""
Het Huis van Alijn (Gent);2009-046-062;"";speelgoedfiguur;Stripfiguren Pekkie en Flip;Pekkie en Flip, de hond en papegaai uit Jommeke, een Vlaamse stripreeks sinds 1959.;Nys;fabrikant;China;"";"";"";"";stripverhaal$speelgoed;"";"";"";""
Het Huis van Alijn (Gent)$Het Huis van Alijn (Gent);2008-119-014;optisch speelgoed;gezelschapsspel$viewmaster;View-Master 3D spel Piramido;"";View-Master;fabrikant;"";"";1983;"";"";speelgoed;"";jaren 1980;"";""
Het Huis van Alijn (Gent);2007-172-033;"";postkaart;Teedere liefde;Tekst: De liefde is het eenigst ding op aarde dat men met geld niet koopen kan.;"";"";"";"";1923;"";"";verloving$liefde$valentijnsdag;"";jaren 1920;man$vrouw$kus$bloem (plant)$margriet;""
Het Huis van Alijn (Gent);2007-172-032;"";postkaart;Nos jeunes amours;Tekst: L'amour est un roman que l'on vit en s'aimant!;"";"";"";"";1956;"";"";verloving$liefde$valentijnsdag;"";jaren 1950;man$vrouw$roos;""
Het Huis van Alijn (Gent);FO-50-00317;"";digitale afbeelding;Kinderen spelen misviering, Bavegem, 1955;De vijf kinderen van dit gezin spelen een misviering na, waarbij de oudste zoon priester speelt. Hij is ook verkleed als priester. Zijn jongere broer speelt misdienaar en de drie andere kinderen zijn de kerkgangers.;"";"";"";"";1955;"";"";speelgoed$eucharistieviering$Bavegem;"";jaren 1950;priester$pop;""
Het Huis van Alijn (Gent);2002-078-682;"";affiche;Affiche voor illusionist Niuq'sar, ca. 1930;"Affiche voor illusionist Niuq'sar (Jean Rasquin). Donkerblauwe achtergrond, witte randen. Afbeeldingen: een portrettekening van  Niuq'sar, met twee rode duiveltjes op zijn schouders; een rood duiveltje onderaan links; groene geest- en monsterachtige fantasiefiguren en een plantenmotief aan de randen.";Verstegen, L. & H.;drukker;Brussel;ca.;1930;"";"";magiër$circus;"";jaren 1930;duivel;Rasquin, Jean
Het Huis van Alijn (Gent);FO-50-01110;"";digitale afbeelding;Man in VW Kever, Torhout, 1956;De auto is een Volkswagen Kever (1953-2003).;"";"";"";"";1956;"";"";vervoer$Torhout;"";jaren 1950;auto$Volkswagen;""
Het Huis van Alijn (Gent);1976-042-006;"";foto;Lijkkoets tweede klasse;Foto van een lijkkoets voor volwassenen behorend tot de tweede klasse in de samenleving. De lijkkoets wordt getrokken door twee paarden die rouwkleden dragen. Naast de koets staan zogenaamde lijkbidders. De lijkkoets wordt voorafgegaan door een ceremoniemeester.;Sacré, Edmond;fotograaf;Gent;"";"";"";"";begrafenis$rouw$dood$vervoer$Gent;"";jaren 1890$jaren 1900;lijkkoets$paard$koetsier;""
Het Huis van Alijn (Gent);1975-216-003;"";foto;Cinema Oud Gend, 1935;Foto van Cinema Oud Gend op het Woodrow Wilsonplein in Gent. De Franse film 'Le Roi des Champs Elysées' met Buster Keaton werd vertoond van 20 tot en met 27 december 1935.;"";"";"";"";1935-12;"";"";cinema$Woodrow Wilsonplein (Gent)$Gent;"";jaren 1930;"";""
Het Huis van Alijn (Gent);1979-174-015;"";foto;Stoet ter hoogte van de Sint Pietersabdij, Gent;Op de praalwagen turners van een Gentse turnvereniging.;Jacobs de Rudder Fils, J.;fotograaf;Gent;"";"";"";"";optocht$turnen$Sint-Pietersplein (Gent)$Gent$sport;"";"";Sint-Pietersplein (Gent);""
Het Huis van Alijn (Gent);1975-258-002;"";foto;Cortège fleuri à Gand, 1898;Een versierde koets met paard tijdens een bloemencorso in Gent in 1898.;"";"";"";"";1898;"";"";optocht$bloemencorso$Gent;"";jaren 1890$19de eeuw;paard$koets$bloem (plant);""
Het Huis van Alijn (Gent);1977-200-020;"";foto;Bloemencorso op de Leie, Gent;"";"";"";"";"";"";"";"";optocht$bloemencorso$Gent;"";"";boot$bloem (plant);""
Het Huis van Alijn (Gent);2007-167-060;"";postkaart;Gelukkig Nieuwjaar;"";"";"";"";"";1908;"";"";nieuwjaarsdag;"";jaren 1900;kind$bloem (plant);""
Het Huis van Alijn (Gent);FO-90-00220;"";digitale afbeelding;Meisje op schoot van Sinterklaas, Gent, 1991;De foto werd genomen in warenhuis Sarma, Gent, 1991.;"";"";"";"";1991-12;"";"";Sinterklaas$Gent$Korenmarkt (Gent)$speelgoed;"";jaren 1990;Sinterklaas$teddybeer;""
Het Huis van Alijn (Gent);FO-60-01710;"";digitale afbeelding;Jongetje bij Sinterklaas, 1960;"";"";"";"";"";1960;"";"";Sinterklaas;"";jaren 1960;Sinterklaas;""
Het Huis van Alijn (Gent);FO-50-00398;"";digitale afbeelding;Drie kinderen bij Sinterklaas, ca. 1958;"";"";"";"";ca.;1958;"";"";Sinterklaas;"";jaren 1950;Sinterklaas;""
Het Huis van Alijn (Gent);FO-20-00375;"";digitale afbeelding;Studioportret van communicant, Merendree, 1928;"";Haes, H.;fotograaf;Gent;"";1928;"";"";communie$Merendree;"";jaren 1920;studioportret$communicant;""
Het Huis van Alijn (Gent);2007-148-066;keukengerei;kan;Witte kan;"";onbekend;"";"";"";"";"";"";keuken$huishouden;"";"";"";""
Het Huis van Alijn (Gent);FO-50-01846;"";digitale afbeelding;Drie miliciens tijdens hun legerdienst aan een bureau met typemachines, 1959;"";"";"";"";"";1959-09-22;"";"";leger$dienstplicht;"";jaren 1950;schrijfmachine$militair;""
Het Huis van Alijn (Gent);2013-056-045;poppenaccessoires;poppenbed;Lichtgroen poppenbed uit hout;Op het poppenbed staat twee maal een konijn afgebeeld. Aan de twee zijkanten staat een eend afgebeeld.;onbekend;"";"";"";"";"";"";speelgoed;"";jaren 1960;"";""
Het Huis van Alijn (Gent);FO-80-00384;"";digitale afbeelding;Meisje bij Sinterklaas, Gent, 1982;De foto werd genomen in de Steendam te Gent.;"";"";"";"";1982;"";"";Sinterklaas$speelgoed$Gent;"";jaren 1980;Sinterklaas$pop;""
Het Huis van Alijn (Gent);RE-50-0326;"";advertentie;Reclame voor elektrische apparaten;Ik mis er één... en u? Voor Kerstmis en Nieuwjaar... electrische geschenken! Leef beter... leef electrisch.;"";"";"";"";"";"";"";huishouden$Kerstmis$nieuwjaarsdag;"";jaren 1950;geschenk$vrouw$stofzuiger$mixer (kookgerei)$haardroger$strijkijzer;""
Het Huis van Alijn (Gent);2011-081-099;"";gezichtsbruiner;Gezichtsbruiner Philips Ultraviolet;"";Philips;fabrikant;Eindhoven;"";"";"";"";lichaamsverzorging;"";jaren 1960;"";""
Het Huis van Alijn (Gent);1979-244-007;"";nieuwjaarskaart;Nieuwjaarskaart lantaarnaanstekers, Gent, 1903;Nieuwjaarskaart voor het jaar 1903, gericht aan de inwoners van de stad Gent, vanwege de lantaarnaanstekers.;Buyck frères, F. & R.;drukker;Gent;"";1902;"";1903;nieuwjaarsdag$Gent$verlichting;"";jaren 1900;man$lantaarn$koets$paard;""
Het Huis van Alijn (Gent);F00872;"";8mm film;Tweede verjaardag, Gentbrugge, 1961;Verjaardagsfeest in december 1961. Moeder steekt twee kaarsjes aan op de verjaardagstaart. Met het hele gezin aan tafel en taart eten, met een feesthoedje op. Op de achtergrond staat een kerstboom. Geschenkjes uitpakken en ermee spelen. Een van de dochters heeft op de grond geplast en de jongste zit vol chocolade, moeder geeft haar een badje.;"";"";"";"";1961;"";"";verjaardag$feest$voedsel$speelgoed$interieur$Kerstmis$babyverzorging$Gentbrugge$Gent;"";jaren 1960;taart$kaars$kerstboom$kerststal$geschenk$pop$chocolade;""
Het Huis van Alijn (Gent);2007-168-002;"";postkaart;Vive St. Nicolas;"";"";"";"";"";1912;"";"";Sinterklaas$speelgoed;"";jaren 1910;Sinterklaas$pop$geschenk;""
Het Huis van Alijn (Gent);FO-20-00263;"";digitale afbeelding;Mensen op straat voor kruidenier, ca. 1928-1929;"";"";"";"";ca.;1928;ca.;1929;winkel$vervoer$kruidenier$reclame;"";jaren 1920;auto;""
Het Huis van Alijn (Gent);F00903;"";8mm film;Verjaardagsfeest van 18-jarige;Familiefeest voor achttiende verjaardag. De hele familie is verzameld aan tafel in een feestzaal: lachen, drinken, aansnijden van een grote taart en dansen.;"";"";"";"";1964;"";"";verjaardag$feest$voedsel$drank$rookwaren$dans$mode;"";jaren 1960;taart$bloem (plant)$sigaret$kroonluchter;""
